Country,WHO Region,Dates,Total cases,Cases  in last 7 days,Deaths,Death in last 7 days
United States of America,Americas,07-01-2019,102019564,267168,1109145,2362
China,Western Pacific,14-09-2019,99030129,97455,119865,355
India,South-East Asia,02-04-2019,44686371,1239,530771,10
France,Europe,16-03-2021,38513431,26390,161253,170
Germany,Europe,08-02-2021,38144033,110846,167951,73
Brazil,Americas,19-11-2020,37024417,34560,698947,891
Japan,Western Pacific,09-01-2020,33190296,92344,72320,583
Republic of Korea,Western Pacific,26-11-2021,30513721,67946,33977,104
Italy,Europe,25-12-2021,25576852,16179,188094,130
The United Kingdom,Europe,20-07-2019,24370154,9356,206952,39
Russian Federation,Europe,10-08-2020,22272470,82482,396100,233
Türkiye,Europe,04-05-2020,17004677,0,101419,0
Spain,Europe,22-09-2021,13763336,7380,119380,194
Viet Nam,Western Pacific,28-10-2020,11526905,80,43186,0
Australia,Western Pacific,16-12-2020,11362275,0,19370,202
Argentina,Americas,16-10-2019,10044125,817,130463,5
Netherlands,Europe,02-05-2019,8594150,3420,22992,0
Iran (Islamic Republic of),Eastern Mediterranean,14-09-2021,7567702,899,144842,30
Mexico,Americas,15-06-2020,7450992,14758,332986,49
Indonesia,South-East Asia,20-11-2019,6736046,1440,160914,22
Poland,Europe,08-07-2021,6419480,15459,118884,51
Colombia,Americas,13-07-2021,6359464,689,142615,19
Austria,Europe,21-09-2021,5905405,38812,21872,25
Greece,Europe,26-04-2021,5871458,0,36185,0
Portugal,Europe,01-07-2021,5568084,537,26180,16
Ukraine,Europe,15-11-2020,5389439,0,111235,0
Chile,Americas,08-11-2019,5164922,14296,64174,72
Malaysia,Western Pacific,23-06-2021,5042585,1411,36957,0
Israel,Europe,03-12-2019,4798947,3616,12288,23
Thailand,South-East Asia,26-07-2020,4728035,204,33911,9
Belgium,Europe,15-10-2020,4717655,3532,33717,17
Czechia,Europe,04-12-2020,4609820,6807,42436,33
Canada,Americas,02-03-2020,4591149,9396,51249,163
Peru,Americas,15-03-2019,4485684,915,219429,85
Switzerland,Europe,01-05-2021,4389655,0,13937,0
Philippines,Western Pacific,10-01-2019,4076237,708,66108,78
South Africa,Africa,15-03-2021,4060385,0,102595,0
Denmark,Europe,07-01-2021,3403225,799,8255,18
Romania,Europe,14-03-2019,3340342,5211,67704,29
Sweden,Europe,12-08-2019,2697827,358,23662,3
Serbia,Europe,16-01-2019,2491704,5879,17821,42
Iraq,Eastern Mediterranean,16-07-2019,2465545,0,25375,0
Singapore,Western Pacific,16-09-2020,2226099,0,1722,0
Hungary,Europe,23-06-2020,2194969,0,48650,0
New Zealand,Western Pacific,04-07-2021,2166470,7832,2542,8
Bangladesh,South-East Asia,12-08-2020,2037829,56,29445,0
Slovakia,Europe,15-10-2020,1862889,632,21021,18
Georgia,Europe,08-12-2019,1825598,0,16965,0
Jordan,Eastern Mediterranean,24-03-2021,1746997,0,14122,0
Ireland,Europe,09-03-2021,1703244,206,8655,39
Pakistan,Eastern Mediterranean,05-05-2019,1576961,257,30643,2
Kazakhstan,Europe,03-03-2021,1498722,544,19069,1
Norway,Europe,03-04-2020,1478979,268,5175,0
Finland,Europe,23-08-2020,1462169,210,8892,0
Slovenia,Europe,20-05-2020,1328222,2148,9125,3
Lithuania,Europe,14-11-2020,1304750,2117,9587,10
Bulgaria,Europe,01-02-2021,1296773,474,38216,10
Morocco,Eastern Mediterranean,11-08-2021,1272445,59,16296,0
Croatia,Europe,05-10-2021,1268992,388,17971,21
Guatemala,Americas,16-03-2019,1235970,1925,20168,11
Lebanon,Eastern Mediterranean,17-12-2020,1231713,673,10825,6
Costa Rica,Americas,03-12-2019,1204164,5109,9230,16
Bolivia (Plurinational State of),Americas,26-05-2021,1192933,729,22365,3
Tunisia,Eastern Mediterranean,11-02-2021,1150793,187,29330,4
Cuba,Americas,06-04-2020,1112593,40,8530,0
Puerto Rico,Americas,27-05-2020,1097748,2611,5791,20
Ecuador,Americas,06-04-2019,1057121,284,36014,1
United Arab Emirates,Eastern Mediterranean,07-07-2021,1051930,768,2349,0
Uruguay,Americas,27-04-2020,1034303,257,7617,0
Panama,Americas,17-11-2021,1031273,259,8604,1
Mongolia,Western Pacific,25-08-2021,1007897,1,2136,0
Nepal,South-East Asia,03-08-2019,1001145,10,12020,0
Belarus,Europe,02-09-2020,994037,0,7118,0
Latvia,Europe,24-05-2021,975999,152,6265,7
Saudi Arabia,Eastern Mediterranean,04-09-2020,829388,405,9614,9
Azerbaijan,Europe,12-01-2020,828515,157,10118,15
Paraguay,Americas,13-09-2020,735664,824,19870,21
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,12-10-2019,703228,0,5708,0
Bahrain,Eastern Mediterranean,22-06-2020,696614,0,1536,0
Sri Lanka,South-East Asia,10-08-2021,672029,7,16830,1
Kuwait,Eastern Mediterranean,11-08-2020,663456,0,2570,0
Dominican Republic,Americas,27-11-2020,660705,45,4384,0
Cyprus,Europe,06-04-2021,649093,2062,1305,8
Myanmar,South-East Asia,21-09-2021,633914,13,19490,0
Estonia,Europe,10-11-2019,615128,274,2940,6
